title,dept_num,credits,instructor,university,term,keyword
Topic: National Security Policy Design,POS 494,3,Pagel,arizona state university-tempe,Spring 2019,secur
National Security Affairs,AES 401,3,"Anderson, Duncan, Padbury, Tevich",arizona state university-tempe,Fall 2017,secur
Computer Systems Security,CSE 466,3,Dasgupta,arizona state university-tempe,Fall 2017,secur
Computer Network Security,CSE 468,3,"Chowdhary, Huang",arizona state university-tempe,Fall 2017,secur
Info Assurance & Security,CSE 543,3,"Ponneganti, Yau",arizona state university-tempe,Fall 2017,secur
Software Security,CSE 545,3,"Mishra, Yau",arizona state university-tempe,Fall 2017,secur
Security Analys Portfolio Mgmt,FIN 421,3,Radway,arizona state university-tempe,Fall 2017,secur
Security Analys Portfolio Mgmt,FIN 421,3,Radway,arizona state university-tempe,Fall 2017,secur
Security Analys Portfolio Mgmt,FIN 421,3,Bhattacharya,arizona state university-tempe,Fall 2017,secur
Security Analys Portfolio Mgmt,FIN 421,3,Bhattacharya,arizona state university-tempe,Fall 2017,secur
Security Analys Portfolio Mgmt,FIN 421,3,Bhattacharya,arizona state university-tempe,Fall 2017,secur
Security Analys Portfolio Mgmt,FIN 421,3,Radway,arizona state university-tempe,Fall 2017,secur
Derivative Financl Securities,FIN 427,3,Aragon,arizona state university-tempe,Fall 2017,secur
Natl Security/Intell/Terrorism,POS 364,3,"Ellis, Simon",arizona state university-tempe,Fall 2017,secur
Topic: National Security Policy Design,POS 494,3,Pagel,arizona state university-tempe,Fall 2017,secur
