credits,dept_num,instructor,keyword,session,term,title,university
3,SWGS 315 001,"Shehabuddin, Rahnuma",gender,Full Term,Fall Semester 2017,GENDER AND ISLAM,rice university
3,SWGS 348 001,"Weininger, Melissa S.",gender,Full Term,Fall Semester 2017,SEX & GENDER IN JEWISH CULTURE,rice university
3,SWGS 498 001,"Howe, Alyssa C.",gender,Full Term,Fall Semester 2017,RES STUDY WOMEN GENDER SXLTY,rice university
1.5,MGMT 561 002,"Sauer, Nancy L.",govern,PMBA Second Year 2,Fall Semester 2017,BUSINESS-GOVERNMENT RELATIONS,rice university
3,ARCH 225 001,"Geiser, Reto",histor,Full Term,Fall Semester 2017,HISTORY & THEORY I (INTRO),rice university
3,ARCH 346 001,"Colman, Scott W.",histor,Full Term,Fall Semester 2017,HISTORY & THEORY III 1890-1968,rice university
3,ARCH 525 001,"Geiser, Reto",histor,Full Term,Fall Semester 2017,HISTORY & THEORY I (INTRO),rice university
3,ARCH 646 001,"Colman, Scott W.",histor,Full Term,Fall Semester 2017,HISTORY & THEORY III 1890-1968,rice university
4,ARTS 280 001,"Dove, Charles",histor,Full Term,Fall Semester 2017,HISTORY & AESTHETICS OF FILM,rice university
3,CLAS 201 001,"Siewert, Charles",histor,Full Term,Fall Semester 2017,HISTORY OF PHILOSOPHY I,rice university
3,CMST 201 001,"Blumenthal-Barby, Martin",histor,Full Term,Fall Semester 2017,HISTORY OF CINEMA AND MEDIA I,rice university
4,FILM 280 001,"Dove, Charles",histor,Full Term,Fall Semester 2017,HISTORY & AESTHETICS OF FILM,rice university
3,FWIS 166 001,"Khan, Suraya",histor,First Year Writing,Fall Semester 2017,U.S. MIGRATION HISTORY,rice university
3,FWIS 178 001,"Ward, Kerry R.",histor,First Year Writing,Fall Semester 2017,GLOBALIZING MUSEUM HISTORY,rice university
3,GERM 280 001,"Blumenthal-Barby, Martin",histor,Full Term,Fall Semester 2017,HISTORY OF CINEMA AND MEDIA I,rice university
3,GERM 341 001,"Steiner, Uwe W.",histor,Full Term,Fall Semester 2017,GERMAN THOUGHT ON HISTORY,rice university
