credits,dept_num,instructor,keyword,session,term,title,university
1.5,MGMT 647 001,"Christopoulos, Andreas D.",polic,MBA Term I,Fall Semester 2017,CORPORATE FINANCIAL POLICY,rice university
1.5,MGMT 647 002,"Christopoulos, Andreas D.",polic,MBA Term I,Fall Semester 2017,CORPORATE FINANCIAL POLICY,rice university
3,NSCI 530 001,"Chandler, Seth J.",polic,Full Term,Fall Semester 2017,THE SHAPING OF HEALTH POLICY,rice university
3,POLI 337 001,"Stein, Robert M.",polic,Full Term,Fall Semester 2017,PUBLIC POLICY,rice university
3,POLI 372 001,"Skov, Isak R.",polic,Full Term,Fall Semester 2017,AMERICAN FOREIGN POLICY,rice university
3,BUSI 305 001,"Peyravan, Leila",account,Full Term,Spring Semester 2018,FINANCIAL ACCOUNTING,rice university
3,BUSI 305 002,"Peyravan, Leila",account,Full Term,Spring Semester 2018,FINANCIAL ACCOUNTING,rice university
3,MACC 502 001,"Butler, Lee Ann E.",account,MBA Full Term Spring,Spring Semester 2018,BUSINESS LAW FOR ACCOUNTANTS,rice university
1.5,MACC 531 001,"Lind, Gary D.",account,MBA Term I,Spring Semester 2018,ADVANCED MGMT ACCOUNTING,rice university
1.5,MACC 541 001,"Dunn, Cheryl L.",account,MBA Module 3,Spring Semester 2018,ACCOUNTING CONTROL SYSTEMS,rice university
1.5,MACC 561 001,"Dunn, Cheryl L.",account,MBA Term II,Spring Semester 2018,ACCOUNTING INFORMATION SYSTEMS,rice university
1.5,MACC 562 001,"Cheek, Danielle S.",account,MBA Term II,Spring Semester 2018,ACCOUNTING & DATA ANALYTICS,rice university
3,MACC 591 001,"Zeff, Stephen A.",account,MBA Full Term Spring,Spring Semester 2018,ACCOUNTING THEORY,rice university
1.5,MGMP 502 001,"Sivaramakrishnan, Konduru",account,PMBA First Year 2,Spring Semester 2018,MANAGERIAL ACCOUNTING,rice university
1.5,MGMP 502 002,"Sivaramakrishnan, Konduru",account,PMBA First Year 2,Spring Semester 2018,MANAGERIAL ACCOUNTING,rice university
1.5,MGMT 502 001,"Sivaramakrishnan, Konduru",account,MBA Term I,Spring Semester 2018,MANAGERIAL ACCOUNTING,rice university
1.5,MGMT 502 002,"Sivaramakrishnan, Konduru",account,MBA Term I,Spring Semester 2018,MANAGERIAL ACCOUNTING,rice university
1.5,MGMT 802 001,"Sivaramakrishnan, Konduru",account,EMBA Term I,Spring Semester 2018,MANAGERIAL ACCOUNTING,rice university
1.5,MGMW 502 001,"Sivaramakrishnan, Konduru",account,PMBA First Year 2 (Weekend),Spring Semester 2018,MANAGERIAL ACCOUNTING,rice university
3,ENGL 200 002,"Johnson, Amanda L.",critic,Full Term,Spring Semester 2018,CRITICAL READING AND WRITING,rice university
3,ENGL 200 003,"Regier, Alexander",critic,Full Term,Spring Semester 2018,CRITICAL READING AND WRITING,rice university
3,FWIS 138 001,"Hooper, Rachel L.",critic,First Year Writing,Spring Semester 2018,ART CRITICISM IN CONTEXT,rice university
3,FWIS 162 001,"Hutchinson, John S.
Hutchinson, Paula K.",critic,First Year Writing,Spring Semester 2018,CRITICAL THINKING IN DEMOCRACY,rice university
1,LPAP 195 001,"Councill, Cathryn A.",critic,Full Term,Spring Semester 2018,CRITICAL THINKING IN SEXUALITY,rice university
1,LPAP 195 002,"Councill, Cathryn A.",critic,Full Term,Spring Semester 2018,CRITICAL THINKING IN SEXUALITY,rice university
1,LPAP 195 003,"Vogt, Allison M.",critic,Full Term,Spring Semester 2018,CRITICAL THINKING IN SEXUALITY,rice university
1,LPAP 195 004,"Vogt, Allison M.",critic,Full Term,Spring Semester 2018,CRITICAL THINKING IN SEXUALITY,rice university
3,CLAS 316 002,"Yunis, Harvey",democra,Full Term,Spring Semester 2018,DEMOCRACY & POLITICAL THEORY,rice university
3,FWIS 162 001,"Hutchinson, John S.
Hutchinson, Paula K.",democra,First Year Writing,Spring Semester 2018,CRITICAL THINKING IN DEMOCRACY,rice university
3,PLST 316 002,"Yunis, Harvey",democra,Full Term,Spring Semester 2018,DEMOCRACY & POLITICAL THEORY,rice university
3,POLI 457 001,"Jones, Mark P.",democra,Full Term,Spring Semester 2018,CONDITIONS OF DEMOCRACY,rice university
3,SOCI 301 001,"Turley, Ruth N.",equal,Full Term,Spring Semester 2018,SOCIAL INEQUALITY,rice university
4,SOCI 470 001,"Whitehead, Ellen M.",equal,Full Term,Spring Semester 2018,INEQUALITY AND URBAN LIFE,rice university
2,MGMT 643 001,"Foote, Jill",equit,MBA Full Term Spring,Spring Semester 2018,EQUITY PRACTICUM I WRIGHT FUND,rice university
2,MGMT 644 001,"Foote, Jill",equit,MBA Full Term Spring,Spring Semester 2018,EQUITY PRACTICUM II WRIGHT FND,rice university
3,ASIA 338 001,"Donaldson, Brianne G.",ethic,Full Term,Spring Semester 2018,BIOETHICS & INDIAN TRADITIONS,rice university
3,NAVA 402 001,"Symons, Timothy",ethic,Full Term,Spring Semester 2018,LEADERSHIP AND ETHICS,rice university
3,NSCI 511 001,"Matthews, Kirstin R.",ethic,Full Term,Spring Semester 2018,"SCIENCE POLICY, AND ETHICS",rice university
3,PHIL 306 002,"Bradford, Gwendolyn M.",ethic,Full Term,Spring Semester 2018,ETHICS,rice university
3,AFSC 402 001,,fair,Full Term,Spring Semester 2018,NATIONAL SECURITY AFFAIRS II,rice university
3,GERM 307 001,"Weissenberger, Klaus H.",fair,Full Term,Spring Semester 2018,FOLK & FAIRY TALE IN GERMAN,rice university
1 TO 6,GLBL 519 002,"Jones, Mark P.",fair,Full Term,Spring Semester 2018,MASTER GLOBAL AFFAIRS INTRNSHP,rice university
3,GLBL 520 001,"Jones, Mark P.",fair,Full Term,Spring Semester 2018,MASTER GLOBAL AFFAIRS CAPSTONE,rice university
3,GLBL 521 001,"Jones, Mark P.",fair,Full Term,Spring Semester 2018,DIR READING IN GLOBAL AFFAIRS,rice university
1 TO 6,UNIV 400 001,"Hutchinson, John S.",fair,Full Term,Spring Semester 2018,STUDENT AFFAIRS INTERNSHIP,rice university
3,HIST 340 001,"Wildenthal, Lora J.
Kodama, Maki",femin,Full Term,Spring Semester 2018,HISTORY OF FEMINISM,rice university
3,SWGS 345 001,"Wildenthal, Lora J.
Kodama, Maki",femin,Full Term,Spring Semester 2018,HISTORY OF FEMINISM,rice university
3,SWGS 501 001,"Lurie, Susan",femin,Full Term,Spring Semester 2018,FEMINIST DEBATES,rice university
3,PSYC 331 001,"King, Eden B.",gender,Full Term,Spring Semester 2018,PSYCHOLOGY OF GENDER,rice university
3,SOCI 306 002,"Paige, Robin",gender,Full Term,Spring Semester 2018,SOCIOLOGY OF GENDER,rice university
3,SWGS 324 002,"Paige, Robin",gender,Full Term,Spring Semester 2018,SOCIOLOGY OF GENDER,rice university
3,SWGS 331 001,"King, Eden B.",gender,Full Term,Spring Semester 2018,PSYCHOLOGY OF GENDER,rice university
3,SWGS 499 001,"Howe, Alyssa C.",gender,Full Term,Spring Semester 2018,RES STUDY WOMEN GENDER SXLTY,rice university
3,SWGS 502 001,"Howe, Alyssa C.",gender,Full Term,Spring Semester 2018,"GENDER, DISCIPL, & INTERDISCIP",rice university
1.5,MGMT 561 001,"Schuler, Douglas A.",govern,MBA Term II,Spring Semester 2018,BUSINESS-GOVERNMENT RELATIONS,rice university
1.5,MGMW 561 001,"Schuler, Douglas A.",govern,PMBA Second Year 2,Spring Semester 2018,BUS - GOVERNMENT RELATIONS,rice university
3,ARCH 345 001,"Schmidt, Sebastian",histor,Full Term,Spring Semester 2018,HISTORY & THEORY II - PRE 1890,rice university
3,ARCH 352 001,"Hight, Charles C.",histor,Full Term,Spring Semester 2018,HISTORY & THEORY IV 1968-PRES,rice university
3,ARCH 645 001,"Schmidt, Sebastian",histor,Full Term,Spring Semester 2018,HISTORY & THEORY II - PRE 1890,rice university
3,ARCH 652 001,"Hight, Charles C.",histor,Full Term,Spring Semester 2018,HISTORY & THEORY IV 1968-PRES,rice university
3,CMST 202 001,"Oukaderova, Lida",histor,Full Term,Spring Semester 2018,HISTORY OF CINEMA AND MEDIA II,rice university
1,COLL 167 001,"Koh, Daniel",histor,Full Term,Spring Semester 2018,THE HISTORY OF HIP HOP,rice university
3,ECON 365 001,"Lopez Alonso, Moramay",histor,Full Term,Spring Semester 2018,WORLD ECONOMIC HISTORY,rice university
3,HART 345 001,"Schmidt, Sebastian",histor,Full Term,Spring Semester 2018,HISTORY & THEORY II - PRE 1890,rice university
3,HART 645 001,"Schmidt, Sebastian",histor,Full Term,Spring Semester 2018,HISTORY & THEORY II - PRE 1890,rice university
3,HIST 203 001,"Wiener, Martin J.",histor,Full Term,Spring Semester 2018,DEEP HISTORY,rice university
3,HIST 233 001,"Zammito, John H.",histor,Full Term,Spring Semester 2018,HISTORY OF MODERN SCIENCE,rice university
3,HIST 281 001,"Sanders, Paula",histor,Full Term,Spring Semester 2018,PREMODERN MIDDLE EAST HISTORY,rice university
3,HIST 340 001,"Wildenthal, Lora J.
Kodama, Maki",histor,Full Term,Spring Semester 2018,HISTORY OF FEMINISM,rice university
3,HIST 365 001,"Lopez Alonso, Moramay",histor,Full Term,Spring Semester 2018,WORLD ECONOMIC HISTORY,rice university
3,HIST 370 001,"Zammito, John H.",histor,Full Term,Spring Semester 2018,EUROPEAN INTELLECTUAL HISTORY,rice university
3,HIST 404 001,"Domingues da Silva, Daniel B.",histor,Full Term,Spring Semester 2018,HISTORY HONORS THESIS,rice university
3,HIST 416 001,"Byrd, Alexander X.",histor,Full Term,Spring Semester 2018,CONTEMP AF-AMER HISTORY,rice university
3,HIST 570 001,"Hall, Randal L.",histor,Full Term,Spring Semester 2018,U.S. ENVIRONMENTAL HISTORY,rice university
3,HIST 604 001,"Lopez Alonso, Moramay",histor,Full Term,Spring Semester 2018,ECONOMIC HISTORY,rice university
3,MDEM 281 001,"Sanders, Paula",histor,Full Term,Spring Semester 2018,PREMODERN MIDDLE EAST HISTORY,rice university
2,MUSI 619 001,"Park, Sohyoung",histor,Full Term,Spring Semester 2018,20TH CENTURY PIANISM HISTORY,rice university
3,SWGS 345 001,"Wildenthal, Lora J.
Kodama, Maki",histor,Full Term,Spring Semester 2018,HISTORY OF FEMINISM,rice university
3,THEA 311 001,"Dickinson, Debra",histor,Full Term,Spring Semester 2018,HISTORY OF MUSICAL THEATRE,rice university
3,SOCI 301 001,"Turley, Ruth N.",inequ,Full Term,Spring Semester 2018,SOCIAL INEQUALITY,rice university
4,SOCI 470 001,"Whitehead, Ellen M.",inequ,Full Term,Spring Semester 2018,INEQUALITY AND URBAN LIFE,rice university
3,SWGS 470 001,"Shehabuddin, Rahnuma",justic,Full Term,Spring Semester 2018,"POVERTY, JUSTICE, CAPABILITIES",rice university
3,ANTH 396 001,"Werth, Robert J.
Ballestero, Andrea",law,Full Term,Spring Semester 2018,LAW AND RESISTANCE,rice university
3,ANTH 596 001,"Ballestero, Andrea
Werth, Robert J.",law,Full Term,Spring Semester 2018,LAW AND RESISTANCE,rice university
3,ECON 239 001,"Warden, David E.",law,Full Term,Spring Semester 2018,LAW AND ECONOMICS,rice university
3,MACC 502 001,"Butler, Lee Ann E.",law,MBA Full Term Spring,Spring Semester 2018,BUSINESS LAW FOR ACCOUNTANTS,rice university
3,MGMT 661 001,"Hannan, John K.",law,MBA Full Term Spring,Spring Semester 2018,INTERNATIONAL BUSINESS LAW,rice university
1.5,MGMT 721 001,"Butler, Lee Ann E.",law,MBA Term II,Spring Semester 2018,BUSINESS LAW,rice university
1.5,MGMT 721 002,"Butler, Lee Ann E.",law,PMBA Second Year 1,Spring Semester 2018,BUSINESS LAW,rice university
3,MUSI 405 001,"Gottschalk, Arthur W.",law,Full Term,Spring Semester 2018,MUSIC BUSINESS AND LAW,rice university
3,POLI 321 001,"Cuthbertson, Gilbert M.",law,Full Term,Spring Semester 2018,AMER CONSTITUTIONAL LAW,rice university
3,SMGT 364 001,"Jones, Karen L.",law,Full Term,Spring Semester 2018,SPORT LAW,rice university
3,SMGT 464 001,"Jones, Karen L.",law,Full Term,Spring Semester 2018,ADVANCED SPORT LAW,rice university
3,SOCI 396 001,"Werth, Robert J.
Ballestero, Andrea",law,Full Term,Spring Semester 2018,LAW AND RESISTANCE,rice university
3,PHIL 101 002,"Bradford, Gwendolyn M.",moral,Full Term,Spring Semester 2018,CONTEMPORARY MORAL ISSUES,rice university
3,PHIL 531 001,"Schroeder, Timothy A.",moral,Full Term,Spring Semester 2018,MORAL PSYCHOLOGY,rice university
3,PSYC 332 001,"Diddel, Roberta M.",norm,Full Term,Spring Semester 2018,ABNORMAL BEHAVIOR,rice university
3,CLAS 301 001,"Siewert, Charles",philosoph,Full Term,Spring Semester 2018,ANCIENT & MEDIEVAL PHILOSOPHY,rice university
1,COLL 137 001,"Pan, Zixuan",philosoph,Full Term,Spring Semester 2018,PHILOSOPHY OF COFFEE,rice university
1,COLL 138 001,"Rodriguez, Isaiah E.",philosoph,Full Term,Spring Semester 2018,PHILOSOPHY OF POP,rice university
3,MDEM 301 001,"Siewert, Charles",philosoph,Full Term,Spring Semester 2018,ANCIENT & MEDIEVAL PHILOSOPHY,rice university
3,PHIL 100 002,"Miller, Brian T.",philosoph,Full Term,Spring Semester 2018,PROBLEMS OF PHILOSOPHY,rice university
3,PHIL 100 003,"Oxtoby, Donald L.",philosoph,Full Term,Spring Semester 2018,PROBLEMS OF PHILOSOPHY,rice university
3,PHIL 105 001,"Porter, Allen C.",philosoph,Full Term,Spring Semester 2018,HIST INTRO TO PHILOSOPHY,rice university
3,PHIL 202 001,"Miller, Brian T.",philosoph,Full Term,Spring Semester 2018,HIST OF PHILOSOPHY II,rice university
3,PHIL 301 001,"Siewert, Charles",philosoph,Full Term,Spring Semester 2018,ANCIENT & MEDIEVAL PHILOSOPHY,rice university
3,PHIL 307 001,"Sher, George",philosoph,Full Term,Spring Semester 2018,SOCIAL & POLITICAL PHILOSOPHY,rice university
3,PHIL 308 001,"Crowell, Steven G.",philosoph,Full Term,Spring Semester 2018,CONTINENTAL PHILOSOPHY,rice university
3,PHIL 312 002,"Schroeder, Timothy A.",philosoph,Full Term,Spring Semester 2018,PHILOSOPHY OF MIND,rice university
3,PHIL 352 001,"Siewert, Charles",philosoph,Full Term,Spring Semester 2018,PHILOSOPHY OF PSYCHOLOGY,rice university
3,PHIL 501 004,"Morrison, Donald R.",philosoph,Full Term,Spring Semester 2018,ANCIENT & MEDIEVAL PHILOSOPHY,rice university
3,PHIL 508 001,"Crowell, Steven G.",philosoph,Full Term,Spring Semester 2018,SEM CONTINENTAL PHILOSOPHY,rice university
3,PHIL 512 001,"Morgan, Alexander D.",philosoph,Full Term,Spring Semester 2018,SEMINAR PHILOSOPHY OF MIND,rice university
3,RELI 363 001,"Ogren, Brian E.",philosoph,Full Term,Spring Semester 2018,JEWISH PHILOSOPHY,rice university
3,RELI 567 001,"Ogren, Brian E.",philosoph,Full Term,Spring Semester 2018,JEWISH PHILOSOPHY,rice university
3,ANTH 365 002,"Sharim, Yehuda",polit,Full Term,Spring Semester 2018,POLITICS OF REPRESENTATION,rice university
3,CLAS 316 002,"Yunis, Harvey",polit,Full Term,Spring Semester 2018,DEMOCRACY & POLITICAL THEORY,rice university
3,FWIS 119 001,"Shehabuddin, Rahnuma",polit,First Year Writing,Spring Semester 2018,MUSLIM WOMEN & GLOBAL POLITICS,rice university
3,GERM 352 001,"Blumenthal-Barby, Martin",polit,Full Term,Spring Semester 2018,THE POLITICS OF THE FLESH,rice university
3,HART 265 001,"Lopez Duran, Maria Fabiola
Wolf, Caroline M.",polit,Full Term,Spring Semester 2018,ART/ POLITICS MOD LATIN AMER,rice university
3,HART 314 001,"Acikgoz, Umit F.",polit,Full Term,Spring Semester 2018,POLITICS OF CULTURAL HERITAGE,rice university
3,HART 665 001,"Lopez Duran, Maria Fabiola
Wolf, Caroline M.",polit,Full Term,Spring Semester 2018,ART/ POLITICS MOD LATIN AMER,rice university
3,HIST 373 001,"Caldwell, Peter C.",polit,Full Term,Spring Semester 2018,19TH C SOC/POLITICAL THOUGHT,rice university
3,HIST 392 001,"Pollnitz, Aysha E.",polit,Full Term,Spring Semester 2018,PRE-MOD POLITICAL THOUGHT,rice university
1.5,MGMT 611 001,"Arnold, William M.",polit,MBA Term I,Spring Semester 2018,GEOPOLITICS OF ENERGY,rice university
3,PHIL 307 001,"Sher, George",polit,Full Term,Spring Semester 2018,SOCIAL & POLITICAL PHILOSOPHY,rice university
3,PHIL 507 001,"Sher, George",polit,Full Term,Spring Semester 2018,SEM SOCIAL &POLITICAL PHILO,rice university
3,PLST 316 002,"Yunis, Harvey",polit,Full Term,Spring Semester 2018,DEMOCRACY & POLITICAL THEORY,rice university
3,POLI 210 001,"Ragsdale, Lyn K.",polit,Full Term,Spring Semester 2018,AMERICAN GOVT AND POLITICS,rice university
3,POLI 212 001,"Schwindt-Bayer, Leslie A.",polit,Full Term,Spring Semester 2018,INTRO TO COMPARATIVE POLITICS,rice university
2,POLI 307 001,"Alford, John R.",polit,Full Term,Spring Semester 2018,POLITICAL SCIENCE INTERNSHIP I,rice university
3,POLI 334 001,"Rusk, Jerrold G.",polit,Full Term,Spring Semester 2018,AMERICAN POLITICAL PARTIES,rice university
3,POLI 342 001,"Brace, Paul R.",polit,Full Term,Spring Semester 2018,POLITICS OF THE JUDICIARY,rice university
3,POLI 343 001,"Menger, Andrew M.",polit,Full Term,Spring Semester 2018,MEDIA AND POLITICS,rice university
3,POLI 373 001,"Birol, Cem",polit,Full Term,Spring Semester 2018,WAR AND POLITICS,rice university
3,POLI 416 001,"Stein, Robert M.",polit,Full Term,Spring Semester 2018,SURVEY RSRCH AMERICAN POLITICS,rice university
3,POLI 539 001,"Hayes, Matthew J.",polit,Full Term,Spring Semester 2018,POLITICAL PSYCHOLOGY,rice university
3,POLI 594 001,"Hamm, Keith E.",polit,Full Term,Spring Semester 2018,DIR READING AMERICAN POLITICS,rice university
3,POLI 594 002,"Alford, John R.",polit,Full Term,Spring Semester 2018,DIR READING AMERICAN POLITICS,rice university
3,POLI 594 003,"Brace, Paul R.",polit,Full Term,Spring Semester 2018,DIR READING AMERICAN POLITICS,rice university
3,POLI 594 004,"Cuthbertson, Gilbert M.",polit,Full Term,Spring Semester 2018,DIR READING AMERICAN POLITICS,rice university
3,POLI 594 005,"Marschall, Melissa J.",polit,Full Term,Spring Semester 2018,DIR READING AMERICAN POLITICS,rice university
3,POLI 594 006,"Rusk, Jerrold G.",polit,Full Term,Spring Semester 2018,DIR READING AMERICAN POLITICS,rice university
3,POLI 594 007,"Stein, Robert M.",polit,Full Term,Spring Semester 2018,DIR READING AMERICAN POLITICS,rice university
3,POLI 594 008,"Wilson, Rick K.",polit,Full Term,Spring Semester 2018,DIR READING AMERICAN POLITICS,rice university
3,POLI 594 009,"Hayes, Matthew J.",polit,Full Term,Spring Semester 2018,DIR READING AMERICAN POLITICS,rice university
3,POLI 598 001,"Stevenson, Randolph T.",polit,Full Term,Spring Semester 2018,DIR READ-COMPARATIVE POLITICS,rice university
3,POLI 598 002,,polit,Full Term,Spring Semester 2018,DIR READ-COMPARATIVE POLITICS,rice university
3,POLI 598 003,"Jones, Mark P.",polit,Full Term,Spring Semester 2018,DIR READ-COMPARATIVE POLITICS,rice university
3,POLI 598 004,,polit,Full Term,Spring Semester 2018,DIR READ-COMPARATIVE POLITICS,rice university
3,POLI 598 005,"Schwindt-Bayer, Leslie A.",polit,Full Term,Spring Semester 2018,DIR READ-COMPARATIVE POLITICS,rice university
1,POLI 599 001,"Stoll, Richard J.",polit,Full Term,Spring Semester 2018,TEACHING POLITICAL SCIENCE,rice university
3,SOCI 365 002,"Sharim, Yehuda",polit,Full Term,Spring Semester 2018,POLITICS OF REPRESENTATION,rice university
2,AFSC 202 001,,power,Full Term,Spring Semester 2018,EVOLUTION OF AIR POWER II,rice university
2,AFSC 202 002,,power,Full Term,Spring Semester 2018,EVOLUTION OF AIR POWER II,rice university
3,NAVA 103 001,"Snow, Patrick",power,Full Term,Spring Semester 2018,SEA POWER,rice university
3,FWIS 113 001,"Marschall, Melissa J.",race,First Year Writing,Spring Semester 2018,"RACE, POLICY, & RACIAL CHANGE",rice university
3,SOCI 309 001,"Considine, Craig M.",race,Full Term,Spring Semester 2018,RACE & ETHNIC RELATIONS,rice university
3,MLSC 545 001,"Bailey, Nancy G.",religi,MLS Winter Session,Spring Semester 2018,RELIGION & ETHNICITY MUSIC,rice university
3,RELI 294 001,"Stroup, John M.",religi,Full Term,Spring Semester 2018,RELIGION IN FICTION AND FILM,rice university
3,RELI 300 001,"Kripal, Jeffrey J.",religi,Full Term,Spring Semester 2018,RELIGIONS IN AMERICA,rice university
3,RELI 359 001,"Stroup, John M.",religi,Full Term,Spring Semester 2018,RELIGIOUS TOLERANCE,rice university
3,RELI 504 001,"Kripal, Jeffrey J.",religi,Full Term,Spring Semester 2018,RELIGIONS IN AMERICA,rice university
3,RELI 514 001,"Stroup, John M.",religi,Full Term,Spring Semester 2018,RELIGION IN FICTION AND FILM,rice university
3,RELI 580 001,"Stroup, John M.",religi,Full Term,Spring Semester 2018,RELIGIOUS TOLERANCE,rice university
3,SOCI 459 001,"Ecklund, Elaine H.",religi,Full Term,Spring Semester 2018,RELIGION AND PUBLIC LIFE,rice university
3,SOCI 559 001,"Ecklund, Elaine H.",religi,Full Term,Spring Semester 2018,RELIGION AND PUBLIC LIFE,rice university
.75,MGMT 560 001,"Windsor, Duane",respons,MBA .25 Term II or IV C,Spring Semester 2018,CORPORATE RESPONSIBILITY,rice university
.75,MGMT 560 002,"Windsor, Duane",respons,MBA .25 Term II or IV C,Spring Semester 2018,CORPORATE RESPONSIBILITY,rice university
2,MGMT 643 001,"Foote, Jill",right,MBA Full Term Spring,Spring Semester 2018,EQUITY PRACTICUM I WRIGHT FUND,rice university
2,MGMT 644 001,"Foote, Jill",right,MBA Full Term Spring,Spring Semester 2018,EQUITY PRACTICUM II WRIGHT FND,rice university
3,AFSC 402 001,,secur,Full Term,Spring Semester 2018,NATIONAL SECURITY AFFAIRS II,rice university
3,COMP 427 001,"Wallach, Dan S.",secur,Full Term,Spring Semester 2018,INTRO TO COMPUTER SECURITY,rice university
3,COMP 541 001,"Wallach, Dan S.",secur,Full Term,Spring Semester 2018,INTRO TO COMPUTER SECURITY,rice university
3,GLBL 525 001,"Ard, Michael J.",secur,Full Term,Spring Semester 2018,INTERNATIONAL SECURITY,rice university
3,ANTH 201 001,"Wool, Zoe H.",social,Full Term,Spring Semester 2018,INTRO TO SOCIAL/CULTURAL ANTH,rice university
3,ANTH 345 001,"McIntosh, Susan K.",social,Full Term,Spring Semester 2018,ARCHAEOLOGY IN SOCIAL CONTEXT,rice university
3,ANTH 616 001,"Faubion, James D.",social,Full Term,Spring Semester 2018,CLASSICAL SOCIAL THEORY,rice university
3,BUSI 464 001,"Schuler, Douglas A.",social,Full Term,Spring Semester 2018,SOCIAL ENTREPRENEURSHIP,rice university
1,COLL 108 001,"Liu, Zhijing",social,Full Term,Spring Semester 2018,SURVIVOR: SOCIAL STRATEGIES,rice university
1,COLL 145 001,"Frieders, Caroline R.",social,Full Term,Spring Semester 2018,SOCIAL ISSUES MODERN MUSICALS,rice university
1,COLL 146 001,"Wickerson, Margaret G.",social,Full Term,Spring Semester 2018,DESIGN FOR SOCIAL IMPACT,rice university
1,COLL 153 001,"Ankoor, Nehemiah L.",social,Full Term,Spring Semester 2018,SOCIALIZATION THROUGH SPORTS,rice university
1,COLL 166 001,"Nikirk, Madeleine G.",social,Full Term,Spring Semester 2018,X-MEN AS SOCIAL COMMENTARY,rice university
3,GERM 336 001,"Blumenthal-Barby, Martin",social,Full Term,Spring Semester 2018,NATIONAL SOCIALISM AND FILM,rice university
3,GLHT 464 001,"Schuler, Douglas A.",social,Full Term,Spring Semester 2018,SOCIAL ENTREPRENEURSHIP,rice university
1.5,MGMT 613 001,"Larson, Abby",social,MBA Term II,Spring Semester 2018,SOCIAL & HUMAN CONTEXT IN TECH,rice university
1.5,MGMT 676 001,"Schuler, Douglas A.",social,MBA Term I,Spring Semester 2018,SOCIAL ENTERPRISE,rice university
1.5,MGMT 724 001,"Alvarez, Rafael",social,MBA Term II,Spring Semester 2018,SOCIAL ENTREPRENEURSHIP,rice university
3,PHIL 307 001,"Sher, George",social,Full Term,Spring Semester 2018,SOCIAL & POLITICAL PHILOSOPHY,rice university
3,PHIL 507 001,"Sher, George",social,Full Term,Spring Semester 2018,SEM SOCIAL &POLITICAL PHILO,rice university
3,POLI 501 001,"Stoll, Richard J.",social,Full Term,Spring Semester 2018,SOCIAL SCIENTIFIC THINKING II,rice university
3,POLI 512 001,"Wilson, Rick K.",social,Full Term,Spring Semester 2018,EXPRMNTL DSGN & SOCIAL BHVR,rice university
3,PSYC 202 001,"Parsons, Sandra V.",social,Full Term,Spring Semester 2018,INTRO TO SOCIAL PSYCHOLOGY,rice university
3,PSYC 586 001,"Denny, Bryan T.",social,Full Term,Spring Semester 2018,SOCIAL AND AFFECTIVE NEURO,rice university
3,SOCI 231 001,"Considine, Craig M.",social,Full Term,Spring Semester 2018,SOCIAL PROBLEMS,rice university
3,SOCI 301 001,"Turley, Ruth N.",social,Full Term,Spring Semester 2018,SOCIAL INEQUALITY,rice university
3,SOCI 374 001,"Brown, Tony N.",social,Full Term,Spring Semester 2018,SOCIAL PSYCHOLOGY OF PREJUDICE,rice university
3,SOCI 382 001,"Brown, Tony N.",social,Full Term,Spring Semester 2018,SOCIAL STATISTICS,rice university
3,SOSC 464 001,"Schuler, Douglas A.",social,Full Term,Spring Semester 2018,SOCIAL ENTREPRENEURSHIP,rice university
3,ASIA 317 001,"Galipeau, Brendan A.",societ,Full Term,Spring Semester 2018,ENVIRONMENT & SOCIETY IN CHINA,rice university
3,SOCI 364 002,"Considine, Craig M.",societ,Full Term,Spring Semester 2018,MUSLIMS IN AMERICAN SOCIETY,rice university
3,PHIL 535 001,"Yao, Vida",valu,Full Term,Spring Semester 2018,ADV TOPICS IN VALUE THEORY,rice university
3,ECON 260 001,"Dudey, Marc P.",polic,Full Term,Spring Semester 2018,MICROECONOMICS & PUBLIC POLICY,rice university
3,ECON 265 001,"Dudey, Marc P.",polic,Full Term,Spring Semester 2018,MICRO & PUBLIC POLICY/BUSINESS,rice university
3,EDUC 335 001,"Lundin, Robert A.",polic,Full Term,Spring Semester 2018,"URBAN ED:ISSUES, POLICY & PRAC",rice university
3,EDUC 350 001,"Hochberg, Scott",polic,Full Term,Spring Semester 2018,EDUCATION POLICY,rice university
3,EDUC 535 001,"Lundin, Robert A.",polic,Full Term,Spring Semester 2018,"URBAN ED:ISSUES, POLICY & PRAC",rice university
3,EDUC 550 001,"Hochberg, Scott",polic,Full Term,Spring Semester 2018,EDUCATION POLICY,rice university
3,FWIS 113 001,"Marschall, Melissa J.",polic,First Year Writing,Spring Semester 2018,"RACE, POLICY, & RACIAL CHANGE",rice university
3,NSCI 511 001,"Matthews, Kirstin R.",polic,Full Term,Spring Semester 2018,"SCIENCE POLICY, AND ETHICS",rice university
3,POLI 338 001,"Stein, Robert M.",polic,Full Term,Spring Semester 2018,POLICY ANALYSIS,rice university
3,POLI 462 001,"Ambler, John S.",polic,Full Term,Spring Semester 2018,COMPARATIVE PUBLIC POLICY,rice university
3,SOSC 300 001,"Matusow, Allen J.
Valentin, Edward",polic,Full Term,Spring Semester 2018,INTRODUCTION TO PUBLIC POLICY,rice university
3,SOSC 301 001,"Stein, Robert M.",polic,Full Term,Spring Semester 2018,POLICY ANALYSIS,rice university
3,BUSI 305 001,"De la Parra Hurtado, Daniela",account,Summer Session 3,Summer Semester 2018,FINANCIAL ACCOUNTING,rice university
