credits,dept_num,instructor,keyword,term,title,university
3,ACC 360,Samuelson,ethic,Spring 2018,Ethics for Prof Accountants,arizona state university-tempe
3,ACC 360,Samuelson,ethic,Spring 2018,Ethics for Prof Accountants,arizona state university-tempe
3,ACC 360,Samuelson,ethic,Spring 2018,Ethics for Prof Accountants,arizona state university-tempe
3,ACC 591,Orpurt,ethic,Spring 2018,"Topic: Corporate Gov, Ethics & Sustainability Rptg",arizona state university-tempe
3,ACC 591,Orpurt,ethic,Spring 2018,"Topic: Corporate Gov, Ethics & Sustainability Rptg",arizona state university-tempe
3,ACC 591,Orpurt,ethic,Spring 2018,"Topic: Corporate Gov, Ethics & Sustainability Rptg",arizona state university-tempe
3,BIO 312,Yanke,ethic,Spring 2018,Bioethics,arizona state university-tempe
1,BIO 498,Rojas,ethic,Spring 2018,"Topic: Ethical Controversies in Ecology and Conservation
(SEM)",arizona state university-tempe
3,BIO 527,Minteer,ethic,Spring 2018,"Environ Ethics & Policy Goals
(SEM)",arizona state university-tempe
1,BIO 611,Ellison,ethic,Spring 2018,"Topic: RCR Topic: Ethics Enhancing Humans
(SEM)",arizona state university-tempe
1-4,BIS 194,Staff,ethic,Spring 2018,Topic: Ethics and Information Society,arizona state university-tempe
1,BME 213,Coursen,ethic,Spring 2018,BME Ethics,arizona state university-tempe
3,CEL 194,Taliaferro,ethic,Spring 2018,Topic: Great Ideas of Politics and Ethics,arizona state university-tempe
3,CPY 645,Kurpius,ethic,Spring 2018,Professional Issues and Ethics,arizona state university-tempe
3,DCE 404,Jackson,ethic,Spring 2018,Dance and Ethics,arizona state university-tempe
3,DCE 598,Jackson,ethic,Spring 2018,Topic: Dance and Ethics,arizona state university-tempe
3,ENG 394,Mox,ethic,Spring 2018,Topic: Ethics of Hospitality in Literature and Philosophy,arizona state university-tempe
3,FMP 250,Scott,ethic,Spring 2018,Ethics Survey Film & TV,arizona state university-tempe
1,FMP 294,Scott,ethic,Spring 2018,"Topic: Ethics in Film/Media Production Seminar
(LEL)",arizona state university-tempe
3,HON 394,Barca,ethic,Spring 2018,"Topic: Animal Ethics in Literature, Philosophy, & Culture",arizona state university-tempe
3,HON 394,Mox,ethic,Spring 2018,Topic: Ethics of Hospitality in Literature and Philosophy,arizona state university-tempe
3,LES 305,Koretz,ethic,Spring 2018,Business Law&Ethics for Mgrs,arizona state university-tempe
3,LES 305,Koretz,ethic,Spring 2018,Business Law&Ethics for Mgrs,arizona state university-tempe
3,LES 305,Koretz,ethic,Spring 2018,Business Law&Ethics for Mgrs,arizona state university-tempe
1.5,LES 582,Bundy,ethic,Spring 2018,Ethical Issues for Managers,arizona state university-tempe
1.5,LES 582,Bundy,ethic,Spring 2018,Ethical Issues for Managers,arizona state university-tempe
