,title,dept_num,description,credits,instructor,syllabus,university,term,keyword
0,Security and Privacy Concepts in the Wild,CS 5435,"This course will impart a technical and social understanding of how and why security and privacy matter, how to think adversarially, how (and how not) to design systems and products. Less attention will ... view course details",3,"Juels, A",                                1 available,cornell university,Fall 2017,privac
1,Fixed-Income Securities,AEM 4260,"Focuses on fixed-income securities including corporate bonds, default-free bonds, and floating rate notes. Other topics include related financial instruments such as forwards and futures on fixed-income ... view course details",4,"Bogan, V",                                none,cornell university,Fall 2017,secur
2,Privacy in the Digital Age,CS 5436,"This course introduces students to privacy technologies and surveys the current state of digital privacy from multiple perspectives, including technology, law, policy, ethics, economics, and ... view course details",3-4,"Nissenbaum, H",                                none,cornell university,Spring 2018,privac
3,Practitioner's Overview of Securities Markets and Asset Management,AEM 3060,"A broad overview of various aspects of the Fixed Income and Equities Markets and the role of Investment Banks. Topics, amongst others, will include: Securities Sales and Trading, Fiscal and Monetary Policy ... view course details",1,"Edwards, A",                                1 available,cornell university,Spring 2018,secur
4,Security and Privacy Concepts in the Wild,CS 5435,"This course will impart a technical and social understanding of how and why security and privacy matter, how to think adversarially, how (and how not) to design systems and products. Less attention will ... view course details",3,"Juels, A",                                1 available,cornell university,Fall 2018,privac
5,National Security Affairs / Preparation for Active Duty I,AIRS 4401,This course is designed for college seniors and gives them the foundation to understand their role as military officers in American society. It is an overview of the complex social and political issues ... view course details,3,"Heath, M",                                none,cornell university,Fall 2018,secur
6,"Internet Law, Privacy and Security",LAW 6568,"This is a survey course in Internet law, with particular emphasis on privacy and security.  It is designed to teach lawyers what they need to know to work effectively with computer technologists, and vice ... view course details",3,"Grimmelmann, J",                                1 available,cornell university,Spring 2019,privac
7,Practitioner's Overview of Securities Markets and Asset Management,AEM 3060,"A broad overview of various aspects of the Fixed Income and Equities Markets and the role of Investment Banks. Topics, amongst others, will include: Securities Sales and Trading, Fiscal and Monetary Policy ... view course details",1,"Edwards, A",                                1 available,cornell university,Spring 2019,secur
